0.答案 190/63
1.答案 17/2
2.答案 7
3.答案 52/3
4.答案 63/10
5.答案 1/3
6.答案 9
7.答案 185/12
8.答案 31/50
9.答案 737/126
10.答案 7/20
11.答案 3
12.答案 129/16
13.答案 9/2
14.答案 9
15.答案 3
16.答案 4
17.答案 1314/35
18.答案 137/28
19.答案 22/3
20.答案 47/4
21.答案 7
22.答案 296/7
23.答案 29/14
24.答案 5/32
25.答案 105
26.答案 135/32
27.答案 10
28.答案 19/14
29.答案 365/28
30.答案 109/28
31.答案 251/18
32.答案 43/2
33.答案 47/8
34.答案 8
35.答案 25
36.答案 513/7
37.答案 169/8
38.答案 20/9
39.答案 97/72
40.答案 52/3
41.答案 31
42.答案 79/14
43.答案 413/100
44.答案 5/36
45.答案 4/3
46.答案 209/105
47.答案 5/3
48.答案 39/10
49.答案 112/3
50.答案 39/10
51.答案 33/7
52.答案 11/15
53.答案 89/315
54.答案 39/14
55.答案 43/5
56.答案 33/4
57.答案 35/4
58.答案 17/5
59.答案 107/5
60.答案 248/21
61.答案 1/16
62.答案 25/6
63.答案 106/7
64.答案 52/27
65.答案 27/5
66.答案 16
67.答案 378
68.答案 73
69.答案 8/45
70.答案 71/20
71.答案 53/10
72.答案 117/8
73.答案 28/5
74.答案 2/7
75.答案 949/126
76.答案 181/28
77.答案 137/21
78.答案 111/35
79.答案 53/9
80.答案 15/7
81.答案 187/45
82.答案 41/5
83.答案 49/4
84.答案 160/9
85.答案 13
86.答案 54
87.答案 59/315
88.答案 7/4
89.答案 18
90.答案 149/120
91.答案 49/10
92.答案 129/2
93.答案 450
94.答案 97/18
95.答案 17/30
96.答案 24
97.答案 9
98.答案 2/3
99.答案 180/7
100.答案 201/35
101.答案 0
102.答案 3/8
103.答案 45/256
104.答案 7/8
105.答案 1/3
106.答案 63/5
107.答案 5/18
108.答案 35/27
109.答案 7
110.答案 1/6
111.答案 16
112.答案 4/9
113.答案 14
114.答案 41/8
115.答案 139/56
116.答案 17/4
117.答案 43/8
118.答案 99/28
119.答案 143/30
120.答案 20/9
121.答案 5/4
122.答案 11/2
123.答案 149/80
124.答案 7/3
125.答案 6/5
126.答案 83/8
127.答案 17/2
128.答案 208/5
129.答案 557/63
130.答案 58/3
131.答案 60
132.答案 157/30
133.答案 13/42
134.答案 108/49
135.答案 103/16
136.答案 14/5
137.答案 193/25
138.答案 311/72
139.答案 393/49
140.答案 17/4
141.答案 31/4
142.答案 8
143.答案 20/3
144.答案 209/168
145.答案 237/28
146.答案 17/21
147.答案 61/10
148.答案 223/90
149.答案 695/196
150.答案 51/4
151.答案 11/2
152.答案 29/42
153.答案 7
154.答案 99/32
155.答案 21
156.答案 821/63
157.答案 48
158.答案 1/15
159.答案 161/8
160.答案 7
161.答案 137/12
162.答案 1087/210
163.答案 289/320
164.答案 15/2
165.答案 93/2
166.答案 151/27
167.答案 17/3
168.答案 277/63
169.答案 5
170.答案 188/15
171.答案 67/5
172.答案 48/35
173.答案 35/4
174.答案 13/3
175.答案 8/5
176.答案 11/6
177.答案 10
178.答案 53/42
179.答案 5/4
180.答案 27/10
181.答案 103/8
182.答案 29/4
183.答案 11/2
184.答案 19/3
185.答案 181/42
186.答案 5/24
187.答案 9/56
188.答案 6
189.答案 49/20
190.答案 209/24
191.答案 1/2
192.答案 44/9
193.答案 4
194.答案 16
195.答案 62
196.答案 91/9
197.答案 113/20
198.答案 323/70
199.答案 44/5
200.答案 61/20
201.答案 71/9
202.答案 18/7
203.答案 29/3
204.答案 5/6
205.答案 165/16
206.答案 35/3
207.答案 11/2
208.答案 103/7
209.答案 93
210.答案 49/9
211.答案 1/3
212.答案 127/28
213.答案 197/42
214.答案 1/9
215.答案 2
216.答案 17/9
217.答案 7/1152
218.答案 509/140
219.答案 149/8
220.答案 58/15
221.答案 107/12
222.答案 39/20
223.答案 55/6
224.答案 29/12
225.答案 448/9
226.答案 30/7
227.答案 10
228.答案 17/9
229.答案 25/9
230.答案 253/24
231.答案 330/7
232.答案 19/8
233.答案 253/9
234.答案 78/5
235.答案 5
236.答案 1/2
237.答案 123/8
238.答案 2
239.答案 47/4
240.答案 64
241.答案 397/20
242.答案 209/189
243.答案 755/252
244.答案 112/15
245.答案 74/9
246.答案 49/8
247.答案 113/18
248.答案 3/2
249.答案 371/12
250.答案 5/6
251.答案 24
252.答案 8
253.答案 83/10
254.答案 125
255.答案 96
256.答案 23/12
257.答案 7
258.答案 118/7
259.答案 11/3
260.答案 107/18
261.答案 11/4
262.答案 14/9
263.答案 16/15
264.答案 11/6
265.答案 7/3
266.答案 80/27
267.答案 32/3
268.答案 362/7
269.答案 216/5
270.答案 61/30
271.答案 17/9
272.答案 61/6
273.答案 3
274.答案 420
275.答案 121/42
276.答案 19/18
277.答案 51/2
278.答案 67/10
279.答案 59/3
280.答案 7/3
281.答案 42
282.答案 121/20
283.答案 59/16
284.答案 515/12
285.答案 19/3
286.答案 115/7
287.答案 19/2
288.答案 32/3
289.答案 38/5
290.答案 224/15
291.答案 7/2
292.答案 50/21
293.答案 46/9
294.答案 19/9
295.答案 143/35
296.答案 8/49
297.答案 20/9
298.答案 92/9
299.答案 5/147
300.答案 143/8
301.答案 11/3
302.答案 7/2
303.答案 14/15
304.答案 55/63
305.答案 21/2
306.答案 53/21
307.答案 103/9
308.答案 15/2
309.答案 94/3
310.答案 2
311.答案 361/63
312.答案 21/16
313.答案 25/3
314.答案 20/9
315.答案 107/7
316.答案 24
317.答案 5/6
318.答案 81/5
319.答案 2
320.答案 73/14
321.答案 96
322.答案 41/28
323.答案 69/7
324.答案 151/16
325.答案 113/20
326.答案 138/5
327.答案 5/4
328.答案 285/56
329.答案 9
330.答案 15
331.答案 13/8
332.答案 27/14
333.答案 5
334.答案 135/7
335.答案 51
336.答案 73/6
337.答案 3
338.答案 1
339.答案 1/12
340.答案 36/7
341.答案 13/2
342.答案 413/270
343.答案 233/32
344.答案 69
345.答案 347/36
346.答案 4
347.答案 94/5
348.答案 45/2
349.答案 70/9
350.答案 16
351.答案 9
352.答案 5017/504
353.答案 81/4
354.答案 54/7
355.答案 39/56
356.答案 389/7
357.答案 85/6
358.答案 3/8
359.答案 29/8
360.答案 9
361.答案 107/8
362.答案 1/5
363.答案 12
364.答案 36/5
365.答案 17/4
366.答案 45/64
367.答案 2/5
368.答案 35/3
369.答案 30
370.答案 13/2
371.答案 17/3
372.答案 91/36
373.答案 0
374.答案 85/18
375.答案 15
376.答案 44/21
377.答案 9/2
378.答案 17/2
379.答案 0
380.答案 489
381.答案 434/3
382.答案 13/2
383.答案 25/8
384.答案 1
385.答案 101/4
386.答案 22/3
387.答案 77/10
388.答案 149/20
389.答案 39
390.答案 2/5
391.答案 323/40
392.答案 8/21
393.答案 10
394.答案 1/8
395.答案 167/28
396.答案 97/28
397.答案 49/3
398.答案 3
399.答案 77/18
400.答案 5
401.答案 1
402.答案 5
403.答案 48
404.答案 21/8
405.答案 45/8
406.答案 38/3
407.答案 16
408.答案 11
409.答案 47/42
410.答案 15/8
411.答案 25/7
412.答案 3/2
413.答案 3/5
414.答案 321/20
415.答案 8/3
416.答案 8
417.答案 36
418.答案 39/4
419.答案 45/8
420.答案 17
421.答案 24
422.答案 17/2
423.答案 86
424.答案 21
425.答案 170/9
426.答案 46/7
427.答案 79/6
428.答案 25/6
429.答案 56/5
430.答案 221/12
431.答案 21
432.答案 9/2
433.答案 52/3
434.答案 69/8
435.答案 45/2
436.答案 245/18
437.答案 336/5
438.答案 113/54
439.答案 3/4
440.答案 5/9
441.答案 7/8
442.答案 64/63
443.答案 16
444.答案 0
445.答案 31/8
446.答案 145/28
447.答案 17/4
